Ticker,Close,PE_Ratio,Blend_Score,SARIMA_Forecast_5D
HDFCBANK.NS,881.45,19.66,73.7,0.02
TATASTEEL.NS,210.19,0.33,70.4,-0.07
KOTAKBANK.NS,410.2,21.71,70.0,-0.1
SBIN.NS,1183.2,12.89,69.4,0.04
LICI.NS,833.25,9.94,68.7,0.16
M&M.NS,3329.8,23.85,66.6,-0.16
MARUTI.NS,14407.0,30.31,63.4,-0.14
ONGC.NS,281.3,9.3,61.5,0.08
ADANIPORTS.NS,1480.5,25.61,60.6,-0.01
AXISBANK.NS,1365.7,16.2,58.5,0.05
RELIANCE.NS,1365.3,22.21,57.8,-0.59
ADANIENT.NS,2105.5,19.02,54.0,0.77
ICICIBANK.NS,1366.0,18.66,52.7,0.02
NTPC.NS,376.55,20.84,51.5,-0.04
ITC.NS,312.2,19.22,50.7,-0.62
ULTRACEMCO.NS,12390.0,47.68,47.1,-0.06
INFY.NS,1294.2,18.47,46.9,0.02
LT.NS,4050.8,31.67,44.8,-0.42
TCS.NS,2612.4,19.81,43.6,-0.02
SUNPHARMA.NS,1729.9,38.0,42.2,0.02
BHARTIARTL.NS,1884.8,37.28,41.3,0.07
BAJFINANCE.NS,973.1,33.58,38.4,0.89
TITAN.NS,4258.0,79.35,30.0,-0.08
HINDUNILVR.NS,2302.6,53.52,13.5,-0.01
ASIANPAINT.NS,2313.8,57.61,12.9,-0.48
