Ticker,Close,RSI,PE_Ratio,Margins,Alpha_Score
BAJFINANCE.NS,984.8,34.79,33.52,45.0,32.5
AXISBANK.NS,1252.9,42.36,15.0,34.3,31.8
JIOFIN.NS,294.45,45.7,116.85,72.1,31.3
ICICIBANK.NS,1342.5,37.26,18.15,27.9,31.0
ADANIPORTS.NS,1466.7,37.2,26.48,34.4,30.5
ITC.NS,402.25,48.61,24.99,44.6,29.4
KOTAKBANK.NS,2160.9,37.35,23.13,25.5,28.8
HDFCBANK.NS,990.1,39.29,22.66,27.0,28.6
POWERGRID.NS,264.05,48.74,17.08,32.9,28.3
SUNPHARMA.NS,1720.4,24.97,39.53,19.0,26.9
DRREDDY.NS,1261.5,39.97,17.96,17.1,26.8
CIPLA.NS,1494.1,40.04,22.19,19.5,26.2
SHRIRAMFIN.NS,990.35,87.0,18.94,52.1,24.9
HCLTECH.NS,1623.8,36.75,25.98,13.9,24.7
ONGC.NS,236.7,44.73,8.13,5.6,24.3
SBIN.NS,977.85,62.7,10.87,22.6,21.4
ADANIENT.NS,2225.5,36.19,34.3,8.4,20.8
EICHERMOT.NS,7207.0,46.28,38.7,24.0,20.1
TCS.NS,3219.6,54.52,23.55,19.2,19.9
COALINDIA.NS,401.9,76.64,7.94,23.9,19.8
INFY.NS,1613.9,54.07,22.73,16.6,19.5
BAJAJFINSV.NS,2014.6,39.22,33.6,7.0,19.3
WIPRO.NS,262.56,55.79,20.45,15.1,19.1
MAXHEALTH.NS,1043.3,36.34,75.41,17.1,18.6
TMPV.NS,362.9,77.52,11.65,22.0,18.1
M&M.NS,3650.4,47.58,28.91,8.0,17.7
RELIANCE.NS,1548.0,51.43,25.2,8.3,17.4
HDFCLIFE.NS,745.65,28.79,85.06,2.1,17.1
NTPC.NS,328.75,63.76,17.6,12.7,16.0
BHARTIARTL.NS,2097.7,59.21,32.65,19.8,15.5
ETERNAL.NS,276.8,33.63,1456.84,0.6,14.7
HINDALCO.NS,884.7,75.82,11.08,7.0,13.8
BAJAJ-AUTO.NS,9355.5,62.34,31.4,14.9,13.1
HINDUNILVR.NS,2315.7,52.49,50.06,17.0,12.1
LT.NS,4050.1,59.55,34.0,6.0,10.8
APOLLOHOSP.NS,6990.5,48.66,60.25,7.2,10.7
SBILIFE.NS,1996.9,45.6,81.37,2.4,10.5
BEL.NS,398.3,63.88,51.13,22.6,9.2
MARUTI.NS,16700.0,66.42,35.58,9.2,8.5
TECHM.NS,1595.6,69.98,31.55,8.3,8.0
ASIANPAINT.NS,2781.2,59.66,68.58,11.3,7.5
ULTRACEMCO.NS,11700.0,61.59,47.15,8.9,6.9
INDIGO.NS,4990.0,66.64,37.82,6.1,6.8
TATASTEEL.NS,179.99,74.58,33.01,3.1,6.0
NESTLEIND.NS,1280.7,83.22,83.76,14.1,4.2
TATACONSUM.NS,1179.6,66.07,85.5,7.2,3.7
TRENT.NS,4245.0,67.82,93.42,8.7,3.5
GRASIM.NS,2854.0,67.28,44.84,2.7,3.4
JSWSTEEL.NS,1165.2,67.38,47.21,3.5,2.9
TITAN.NS,4044.3,78.06,86.97,6.1,1.8
DUMMYHDLVR.NS,,,999.0,0.0,0.0
