Ticker,Close,PE_Ratio,Blend_Score,SARIMA_Forecast_5D
PRU.L,1185.0,12.34,48.5,0.06
BARC.L,484.3,11.81,35.9,-0.03
GSK.L,1848.0,13.89,34.9,0.01
LLOY.L,102.2,17.03,31.7,-0.01
RR.L,1273.0,18.72,31.4,-0.05
HSBA.L,1236.8,17.42,30.4,0.58
STAN.L,1850.5,13.12,30.2,0.17
RIO.L,6468.0,13.82,29.2,0.18
TSCO.L,428.5,18.63,28.3,0.07
AZN.L,14026.0,31.24,25.8,0.1
NG.L,1181.0,19.68,24.3,0.0
DGE.L,1678.5,21.25,23.4,-0.01
ULVR.L,4780.5,21.93,22.5,0.14
SHELL.L,,50.0,21.0,
REL.L,3123.0,30.03,18.0,-0.01
BATS.L,4339.0,31.22,15.0,0.78
VOD.L,100.75,50.0,6.6,-0.01
LSEG.L,9086.0,49.11,6.5,0.01
