Ticker,Close,PE_Ratio,Blend_Score,SARIMA_Forecast_5D
META,582.9,21.19,71.9,0.26
JPM,334.47,16.0,63.9,-1.83
BAC,58.73,14.57,62.9,-0.0
BRK-B,507.78,15.1,61.9,-1.35
ACN,137.35,10.96,61.5,-0.1
DIS,99.5,15.92,60.2,-0.78
MSFT,390.49,23.26,55.3,0.1
GOOGL,359.91,27.47,51.2,0.25
AMZN,242.67,31.64,49.0,0.15
PG,151.41,22.14,47.1,0.06
NVDA,194.83,29.84,46.1,1.06
NFLX,77.65,25.05,45.6,0.53
CVX,169.2,29.48,45.2,-0.07
PEP,144.22,22.64,42.9,-0.02
JNJ,263.04,30.48,40.5,0.31
KO,84.14,26.46,40.3,0.09
UNH,425.36,32.05,39.1,0.4
LIN,546.64,36.23,36.6,0.09
AMD,517.82,172.61,36.4,0.08
CSCO,112.69,37.56,34.4,-0.1
MRK,129.56,36.5,32.7,0.21
V,362.13,31.54,30.2,-0.36
MCD,280.63,23.15,29.9,-0.5
MA,539.39,31.25,29.2,-2.09
WMT,111.84,39.38,28.1,0.32
AAPL,308.63,37.32,25.1,0.63
HD,357.9,25.44,24.0,-0.08
COST,951.67,47.85,21.1,0.23
TSLA,393.45,357.68,14.2,0.76
ABBV,261.07,127.98,11.2,0.21
