Ticker,Date,Close,RSI,PE_Ratio,EV_EBITDA,PB_Ratio,Margins,ROE,Debt_Equity,Sentiment,Alpha_Score,Data_Source
WEC,2025-12-12,103.87999725341797,15.428536136108491,19.674242,14.688,2.4904702,17.748,12.806999999999999,151.448,0.8,84.57146386389151,Live_YFinance
AEE,2025-12-12,97.2699966430664,17.970259062536115,18.705769,13.127,2.0587986,16.34,11.387,155.736,0.8,82.02974093746388,Live_YFinance
REG,2025-12-12,67.76000213623047,20.153583467811615,31.08257,17.884,1.8738421,26.093,6.02,73.101,0.8,79.84641653218839,Live_YFinance
CMS,2025-12-12,69.83999633789062,20.833320087865133,20.1268,13.289,2.4597611,12.622,11.233,191.676,0.8,79.16667991213487,Live_YFinance
WRB,2025-12-12,69.33000183105469,20.979481412998865,14.565125,9.846,2.6877303,13.007,20.887,31.481,0.8,79.02051858700113,Live_YFinance
AZO,2025-12-12,3445.7099609375,22.29793560623058,24.03872,16.48,-17.700262,12.776000000000002,0.0,0.0,0.8,77.70206439376942,Live_YFinance
CAH,2025-12-12,198.17999267578125,22.492721625482588,29.846386,14.581,-16.382574,0.681,0.0,0.0,0.8,77.50727837451741,Live_YFinance
DUK,2025-12-12,115.30000305175781,23.516956001681052,18.15748,11.332,1.7766888,15.972,9.905,170.344,0.8,76.48304399831895,Live_YFinance
INVH,2025-12-12,26.350000381469727,23.863609270590175,27.736843,16.433,1.6781303,21.805,6.0,85.691,0.8,76.13639072940983,Live_YFinance
PODD,2025-12-12,295.70001220703125,24.925777102198282,86.209915,41.338,15.028461,9.7629994,19.679001,77.711,0.8,75.07422289780172,Live_YFinance
DOC,2025-12-12,16.6200008392334,25.0000195425022,0.0,14.253,1.5203074,-1.359,-0.11499999999999999,114.248,0.8,74.9999804574978,Live_YFinance
DDOG,2025-12-12,146.0,25.309954354104377,470.96774,7764.965,14.881256,3.3239998,3.519,37.199,0.8,74.69004564589562,Live_YFinance
CPB,2025-12-12,28.739999771118164,26.06557464189531,14.814432,8.566,2.1643195,5.6900002,14.815000000000001,184.567,0.8,73.93442535810469,Live_YFinance
SO,2025-12-12,84.44000244140625,26.206928691855936,21.004976,12.065,2.6563485,15.421999999999999,11.429,192.679,0.8,73.79307130814406,Live_YFinance
FE,2025-12-12,44.2599983215332,26.220616325103123,19.243479,11.691,1.997743,9.312,11.192001,193.669,0.8,73.77938367489688,Live_YFinance
MDLZ,2025-12-12,54.040000915527344,26.507926704474585,20.2397,16.085,2.6636436,9.379999999999999,13.100999999999999,83.621,0.8,73.49207329552542,Live_YFinance
AEP,2025-12-12,114.12999725341797,26.652731638866513,16.734604,12.421,2.00972,17.228001000000003,12.923001000000001,152.132,0.8,73.34726836113349,Live_YFinance
T,2025-12-12,24.579999923706055,26.962468224442034,8.006515,7.491,1.5783728,17.870001,19.139999,124.412,0.8,73.03753177555797,Live_YFinance
